Probabilities:
Number: 1, Probability: 4.428900063357943e-06, Refund 119.997, Cost 0.0005314547209027632
Number: 24225, Probability: 0.5671075675485471, Refund 47.325, Cost 26.838365634234993
Number: 24226, Probability: 0.5672956572193133, Refund 47.322, Cost 26.845565090932347
Number: 24227, Probability: 0.5674838022722783, Refund 47.319, Cost 26.852766039721942
Number: 24228, Probability: 0.5676720027211979, Refund 47.316, Cost 26.8599684807562
Number: 24229, Probability: 0.5678602585798498, Refund 47.313, Cost 26.867172414188435
Number: 24230, Probability: 0.5680485698619953, Refund 47.31, Cost 26.874377840170997
Number: 24231, Probability: 0.5682369365814011, Refund 47.307, Cost 26.88158475885634
Number: 24232, Probability: 0.5684253587518395, Refund 47.304, Cost 26.88879317039702
Number: 24233, Probability: 0.5686138363870941, Refund 47.301, Cost 26.896003074945938
Number: 24234, Probability: 0.5688023695009425, Refund 47.298, Cost 26.90321447265558
Number: 24235, Probability: 0.5689909581071517, Refund 47.295, Cost 26.91042736367774
Number: 24236, Probability: 0.5691796022195161, Refund 47.292, Cost 26.91764174816536
Number: 24237, Probability: 0.5693683018518192, Refund 47.289, Cost 26.92485762627068
Number: 24238, Probability: 0.5695570570178499, Refund 47.286, Cost 26.93207499814605
Number: 24239, Probability: 0.5697458677313916, Refund 47.283, Cost 26.939293863943387
Number: 24240, Probability: 0.5699347340062499, Refund 47.28, Cost 26.946514223815498
Number: 24241, Probability: 0.5701236558562084, Refund 47.277, Cost 26.953736077913966
Number: 24242, Probability: 0.5703126332950725, Refund 47.274, Cost 26.96095942639126
Number: 24243, Probability: 0.5705016663366369, Refund 47.271, Cost 26.968184269399163
Number: 24244, Probability: 0.5706907549947071, Refund 47.268, Cost 26.975410607089817
Number: 24245, Probability: 0.5708798992830943, Refund 47.265, Cost 26.982638439615453
Number: 24246, Probability: 0.5710690992156042, Refund 47.262, Cost 26.989867767127887
Number: 24247, Probability: 0.5712583548060479, Refund 47.259, Cost 26.997098589779018
Number: 24248, Probability: 0.571447666068231, Refund 47.256, Cost 27.004330907720327
Number: 24249, Probability: 0.5716370330159815, Refund 47.253, Cost 27.011564721104172
Number: 24250, Probability: 0.5718264556631103, Refund 47.25, Cost 27.018800030081962
Number: 24251, Probability: 0.5720159340234399, Refund 47.247, Cost 27.026036834805463
Number: 24252, Probability: 0.572205468110798, Refund 47.244, Cost 27.03327513542654
Number: 24253, Probability: 0.5723950579390069, Refund 47.241, Cost 27.040514932096624
Number: 24254, Probability: 0.5725847035219, Refund 47.238, Cost 27.047756224967515
Number: 24255, Probability: 0.5727744048733052, Refund 47.235, Cost 27.05499901419057
Number: 24256, Probability: 0.5729641620070502, Refund 47.232, Cost 27.062243299916997
Number: 24257, Probability: 0.5731539749369852, Refund 47.229, Cost 27.069489082298873
Number: 24258, Probability: 0.5733438436769378, Refund 47.226, Cost 27.076736361487065
Number: 24259, Probability: 0.5735337682407582, Refund 47.223, Cost 27.083985137633324
Number: 24260, Probability: 0.5737237486422853, Refund 47.22, Cost 27.09123541088871
Number: 24261, Probability: 0.573913784895369, Refund 47.217, Cost 27.09848718140464
Number: 24262, Probability: 0.574103877013854, Refund 47.214, Cost 27.105740449332103
Number: 24263, Probability: 0.5742940250115958, Refund 47.211, Cost 27.112995214822448
Number: 24264, Probability: 0.5744842289024499, Refund 47.208, Cost 27.12025147802685
Number: 24265, Probability: 0.5746744887002664, Refund 47.205, Cost 27.127509239096074
Number: 24266, Probability: 0.5748648044189175, Refund 47.202, Cost 27.134768498181742
Number: 24267, Probability: 0.5750551760722533, Refund 47.199, Cost 27.142029255434284
Number: 24268, Probability: 0.575245603674146, Refund 47.196, Cost 27.149291511004993
Number: 24269, Probability: 0.5754360872384567, Refund 47.193, Cost 27.15655526504449
Number: 24270, Probability: 0.5756266267790633, Refund 47.19, Cost 27.163820517703996
Number: 24271, Probability: 0.5758172223098323, Refund 47.187, Cost 27.17108726913406
Number: 24272, Probability: 0.5760078738446417, Refund 47.184, Cost 27.17835551948557
Number: 24273, Probability: 0.5761985813973636, Refund 47.181, Cost 27.18562526890901
Number: 24274, Probability: 0.5763893449818813, Refund 47.178, Cost 27.192896517555194
Number: 24275, Probability: 0.5765801646120838, Refund 47.175, Cost 27.200169265575052
Number: 24276, Probability: 0.5767710403018433, Refund 47.172, Cost 27.20744351311855
Number: 24277, Probability: 0.5769619720650598, Refund 47.169, Cost 27.214719260336807
Number: 24278, Probability: 0.5771529599156167, Refund 47.166, Cost 27.221996507379973
Number: 24279, Probability: 0.5773440038674138, Refund 47.163, Cost 27.229275254398836
Number: 24280, Probability: 0.5775351039343402, Refund 47.16, Cost 27.23655550154348
Number: 24281, Probability: 0.5777262601302902, Refund 47.157, Cost 27.24383724896409
Number: 24282, Probability: 0.5779174724691749, Refund 47.154, Cost 27.251120496811474
Number: 24283, Probability: 0.5781087409648888, Refund 47.151, Cost 27.258405245235476
Number: 24284, Probability: 0.5783000656313431, Refund 47.148, Cost 27.265691494386566
Number: 24285, Probability: 0.5784914464824431, Refund 47.145, Cost 27.27297924441478
Number: 24286, Probability: 0.5786828835321056, Refund 47.142, Cost 27.280268495470526
Number: 24287, Probability: 0.5788743767942306, Refund 47.139, Cost 27.28755924770324
Number: 24288, Probability: 0.5790659262827513, Refund 47.136, Cost 27.294851501263768
Number: 24289, Probability: 0.5792575320115734, Refund 47.133, Cost 27.30214525630149
Number: 24290, Probability: 0.5794491939946189, Refund 47.13, Cost 27.30944051296639
Number: 24291, Probability: 0.5796409122458213, Refund 47.127, Cost 27.31673727140882
Number: 24292, Probability: 0.579832686779097, Refund 47.124, Cost 27.324035531778172
Number: 24293, Probability: 0.5800245176083796, Refund 47.121, Cost 27.331335294224456
Number: 24294, Probability: 0.5802164047475966, Refund 47.118, Cost 27.33863655889726
Number: 24295, Probability: 0.580408348210687, Refund 47.115, Cost 27.345939325946517
Number: 24296, Probability: 0.580600348011584, Refund 47.112, Cost 27.353243595521747
Number: 24297, Probability: 0.5807924041642265, Refund 47.109, Cost 27.36054936777255
Number: 24298, Probability: 0.5809845166825589, Refund 47.106, Cost 27.367856642848622
Number: 24299, Probability: 0.5811766855805256, Refund 47.103, Cost 27.3751654208995
Number: 24300, Probability: 0.5813689108720654, Refund 47.1, Cost 27.382475702074284
Number: 24301, Probability: 0.5815611925711395, Refund 47.097, Cost 27.389787486522955
Number: 24302, Probability: 0.5817535306916921, Refund 47.094, Cost 27.39710077439455
Number: 24303, Probability: 0.5819459252476789, Refund 47.091, Cost 27.404415565838445
Number: 24304, Probability: 0.5821383762530608, Refund 47.088, Cost 27.411731861004125
Number: 24305, Probability: 0.5823308837217878, Refund 47.085, Cost 27.41904966004038
Number: 24306, Probability: 0.5825234476678376, Refund 47.082, Cost 27.42636896309713
Number: 24307, Probability: 0.5827160681051602, Refund 47.079, Cost 27.433689770322836
Number: 24308, Probability: 0.5829087450477277, Refund 47.076, Cost 27.44101208186683
Number: 24309, Probability: 0.5831014785095123, Refund 47.073, Cost 27.448335897878273
Number: 24310, Probability: 0.5832942685044917, Refund 47.07, Cost 27.455661218506425
Number: 24311, Probability: 0.583487115046627, Refund 47.067, Cost 27.462988043899593
Number: 24312, Probability: 0.5836800181499069, Refund 47.064, Cost 27.47031637420722
Number: 24313, Probability: 0.5838729778283036, Refund 47.061, Cost 27.477646209577795
Number: 24314, Probability: 0.5840659940958115, Refund 47.058, Cost 27.484977550160696
Number: 24315, Probability: 0.5842590669664027, Refund 47.055, Cost 27.49231039610408
Number: 24316, Probability: 0.5844521964540772, Refund 47.052, Cost 27.49964474755724
Number: 24317, Probability: 0.5846453825728126, Refund 47.049, Cost 27.50698060466826
Number: 24318, Probability: 0.5848386253366145, Refund 47.046, Cost 27.514317967586365
Number: 24319, Probability: 0.585031924759466, Refund 47.043, Cost 27.521656836459556
Number: 24320, Probability: 0.5852252808553782, Refund 47.04, Cost 27.528997211436987
Number: 24321, Probability: 0.5854186936383454, Refund 47.037, Cost 27.536339092666854
Number: 24322, Probability: 0.5856121631223676, Refund 47.034, Cost 27.543682480297438
Number: 24323, Probability: 0.5858056893214558, Refund 47.031, Cost 27.55102737447739
Number: 24324, Probability: 0.585999272249621, Refund 47.028, Cost 27.558373775355175
Number: 24325, Probability: 0.5861929119208686, Refund 47.025, Cost 27.56572168307885
Number: 24326, Probability: 0.5863866083492097, Refund 47.022, Cost 27.57307109779654
Number: 24327, Probability: 0.5865803615486664, Refund 47.019, Cost 27.580422019656748
Number: 24328, Probability: 0.5867741715332553, Refund 47.016, Cost 27.58777444880753
Number: 24329, Probability: 0.5869680383169984, Refund 47.013, Cost 27.595128385397043
Number: 24330, Probability: 0.5871619619139234, Refund 47.01, Cost 27.60248382957354
Number: 24331, Probability: 0.587355942338047, Refund 47.007, Cost 27.609840781484575
Number: 24332, Probability: 0.5875499796034078, Refund 47.004, Cost 27.61719924127858
Number: 24333, Probability: 0.5877440737240336, Refund 47.001, Cost 27.6245592091033
Number: 24334, Probability: 0.5879382247139575, Refund 46.998, Cost 27.631920685106575
Number: 24335, Probability: 0.5881324325872184, Refund 46.995, Cost 27.639283669436324
Number: 24336, Probability: 0.5883266973578549, Refund 46.992, Cost 27.646648162240318
Number: 24337, Probability: 0.588521019039906, Refund 46.989, Cost 27.65401416366614
Number: 24338, Probability: 0.5887153976474213, Refund 46.986, Cost 27.661381673861737
Number: 24339, Probability: 0.5889098331944398, Refund 46.983, Cost 27.668750692974363
Number: 24340, Probability: 0.5891043256950224, Refund 46.98, Cost 27.676121221152147
Number: 24341, Probability: 0.5892988751632189, Refund 46.977, Cost 27.68349325854253
Number: 24342, Probability: 0.5894934816130737, Refund 46.974, Cost 27.690866805292522
Number: 24343, Probability: 0.5896881450586533, Refund 46.971, Cost 27.698241861550002
Number: 24344, Probability: 0.5898828655140187, Refund 46.968, Cost 27.705618427462433
Number: 24345, Probability: 0.5900776429932253, Refund 46.965, Cost 27.71299650317683
Number: 24346, Probability: 0.5902724775103452, Refund 46.962, Cost 27.720376088840833
Number: 24347, Probability: 0.5904673690794449, Refund 46.959, Cost 27.727757184601654
Number: 24348, Probability: 0.5906623177145909, Refund 46.956, Cost 27.735139790606333
Number: 24349, Probability: 0.5908573234298553, Refund 46.953, Cost 27.742523907002
Number: 24350, Probability: 0.5910523862393213, Refund 46.95, Cost 27.749909533936137
Number: 24351, Probability: 0.5912475061570555, Refund 46.947, Cost 27.757296671555284
Number: 24352, Probability: 0.591442683197152, Refund 46.944, Cost 27.764685320007104
Number: 24353, Probability: 0.591637917373683, Refund 46.941, Cost 27.772075479438055
Number: 24354, Probability: 0.5918332087007372, Refund 46.938, Cost 27.779467149995202
Number: 24355, Probability: 0.5920285571924033, Refund 46.935, Cost 27.78686033182545
Number: 24356, Probability: 0.5922239628627757, Refund 46.932, Cost 27.79425502507579
Number: 24357, Probability: 0.592419425725943, Refund 46.929, Cost 27.80165122989278
Number: 24358, Probability: 0.592614945796005, Refund 46.926, Cost 27.809048946423335
Number: 24359, Probability: 0.5928105230870562, Refund 46.923, Cost 27.81644817481394
Number: 24360, Probability: 0.5930061576131962, Refund 46.92, Cost 27.823848915211165
Number: 24361, Probability: 0.593201849388536, Refund 46.917, Cost 27.831251167761945
Number: 24362, Probability: 0.5933975984271811, Refund 46.914, Cost 27.838654932612776
Number: 24363, Probability: 0.5935934047432312, Refund 46.911, Cost 27.84606020990972
Number: 24364, Probability: 0.5937892683508084, Refund 46.908, Cost 27.853466999799718
Number: 24365, Probability: 0.5939851892640235, Refund 46.905, Cost 27.860875302429026
Number: 24366, Probability: 0.5941811674969932, Refund 46.902, Cost 27.868285117943977
Number: 24367, Probability: 0.5943772030638284, Refund 46.899, Cost 27.875696446490487
Number: 24368, Probability: 0.5945732959786676, Refund 46.896, Cost 27.883109288215596
Number: 24369, Probability: 0.5947694462556163, Refund 46.893, Cost 27.89052364326462
Number: 24370, Probability: 0.5949656539088188, Refund 46.89, Cost 27.897939511784514
Number: 24371, Probability: 0.5951619189523916, Refund 46.887, Cost 27.905356893920782
Number: 24372, Probability: 0.5953582414004788, Refund 46.884, Cost 27.912775789820046
Number: 24373, Probability: 0.5955546212672025, Refund 46.881, Cost 27.92019619962772
Number: 24374, Probability: 0.595751058566707, Refund 46.878, Cost 27.927618123490088
Number: 24375, Probability: 0.5959475533131309, Refund 46.875, Cost 27.93504156155301
Number: 24376, Probability: 0.5961441055206185, Refund 46.872, Cost 27.94246651396243
Number: 24377, Probability: 0.596340715203314, Refund 46.869, Cost 27.949892980864124
Number: 24378, Probability: 0.5965373823753617, Refund 46.866, Cost 27.9573209624037
Number: 24379, Probability: 0.5967341070509169, Refund 46.863, Cost 27.964750458727117
Number: 24380, Probability: 0.5969308892441294, Refund 46.86, Cost 27.972181469979905
Number: 24381, Probability: 0.5971277289691546, Refund 46.857, Cost 27.979613996307673
Number: 24382, Probability: 0.5973246262401533, Refund 46.854, Cost 27.98704803785614
Number: 24383, Probability: 0.5975215810712808, Refund 46.851, Cost 27.99448359477058
Number: 24384, Probability: 0.5977185934767038, Refund 46.848, Cost 28.001920667196618
Number: 24385, Probability: 0.5979156634705829, Refund 46.845, Cost 28.009359255279456
Number: 24386, Probability: 0.5981127910670958, Refund 46.842, Cost 28.0167993591649
Number: 24387, Probability: 0.5983099762804089, Refund 46.839, Cost 28.024240978998073
Number: 24388, Probability: 0.5985072191246943, Refund 46.836, Cost 28.031684114924182
Number: 24389, Probability: 0.5987045196141239, Refund 46.833, Cost 28.03912876708826
Number: 24390, Probability: 0.5989018777628863, Refund 46.83, Cost 28.046574935635963
Number: 24391, Probability: 0.5990992935851591, Refund 46.827, Cost 28.054022620712246
Number: 24392, Probability: 0.5992967670951199, Refund 46.824, Cost 28.061471822461893
Number: 24393, Probability: 0.5994942983069629, Refund 46.821, Cost 28.068922541030307
Number: 24394, Probability: 0.5996918872348711, Refund 46.818, Cost 28.076374776562194
Number: 24395, Probability: 0.5998895338930443, Refund 46.815, Cost 28.08382852920287
Number: 24396, Probability: 0.6000872382956657, Refund 46.812, Cost 28.0912837990967
Number: 24397, Probability: 0.6002850004569404, Refund 46.809, Cost 28.098740586388924
Number: 24398, Probability: 0.6004828203910628, Refund 46.806, Cost 28.106198891224086
Number: 24399, Probability: 0.6006806981122381, Refund 46.803, Cost 28.11365871374708
Number: 24400, Probability: 0.6008786336346716, Refund 46.8, Cost 28.121120054102633
Number: 24401, Probability: 0.6010766269725687, Refund 46.797, Cost 28.128582912435295
Number: 24402, Probability: 0.6012746781401346, Refund 46.794, Cost 28.136047288889454
Number: 24403, Probability: 0.6014727871515857, Refund 46.791, Cost 28.143513183609844
Number: 24404, Probability: 0.6016709540211385, Refund 46.788, Cost 28.150980596741025
Number: 24405, Probability: 0.6018691787630093, Refund 46.785, Cost 28.158449528427386
Number: 24406, Probability: 0.6020674613914145, Refund 46.782, Cost 28.165919978813154
Number: 24407, Probability: 0.6022658019205818, Refund 46.779, Cost 28.173391948042898
Number: 24408, Probability: 0.6024642003647329, Refund 46.776, Cost 28.18086543626075
Number: 24409, Probability: 0.602662656738101, Refund 46.773, Cost 28.188340443611203
Number: 24410, Probability: 0.6028611710549081, Refund 46.77, Cost 28.195816970238052
Number: 24411, Probability: 0.6030597433293927, Refund 46.767, Cost 28.20329501628571
Number: 24412, Probability: 0.6032583735757879, Refund 46.764, Cost 28.21077458189815
Number: 24413, Probability: 0.6034570618083324, Refund 46.761, Cost 28.21825566721943
Number: 24414, Probability: 0.6036558080412646, Refund 46.758, Cost 28.225738272393453
Number: 24415, Probability: 0.6038546122888344, Refund 46.755, Cost 28.233222397564454
Number: 24416, Probability: 0.6040534745652859, Refund 46.752, Cost 28.24070804287625
Number: 24417, Probability: 0.6042523948848577, Refund 46.749, Cost 28.248195208472215
Number: 24418, Probability: 0.6044513732618162, Refund 46.746, Cost 28.255683894496862
Number: 24419, Probability: 0.6046504097104055, Refund 46.743, Cost 28.263174101093487
Number: 24420, Probability: 0.6048495042448809, Refund 46.74, Cost 28.270665828405736
Number: 24421, Probability: 0.6050486568795033, Refund 46.737, Cost 28.278159076577346
Number: 24422, Probability: 0.6052478676285389, Refund 46.734, Cost 28.285653845752137
Number: 24423, Probability: 0.605447136506243, Refund 46.731, Cost 28.293150136073244
Number: 24424, Probability: 0.6056464635268877, Refund 46.728, Cost 28.300647947684407
Number: 24425, Probability: 0.6058458487047447, Refund 46.725, Cost 28.308147280729195
Number: 24426, Probability: 0.6060452920540804, Refund 46.722, Cost 28.315648135350745
Number: 24427, Probability: 0.6062447935891668, Refund 46.719, Cost 28.323150511692287
Number: 24428, Probability: 0.6064443533242925, Refund 46.716, Cost 28.330654409897647
Number: 24429, Probability: 0.6066439712737237, Refund 46.713, Cost 28.338159830109458
Number: 24430, Probability: 0.6068436474517491, Refund 46.71, Cost 28.3456667724712
Number: 24431, Probability: 0.6070433818726573, Refund 46.707, Cost 28.353175237126205
Number: 24432, Probability: 0.6072431745507256, Refund 46.704, Cost 28.36068522421709
Number: 24433, Probability: 0.6074430255002539, Refund 46.701, Cost 28.368196733887356
Number: 24434, Probability: 0.607642934735525, Refund 46.698, Cost 28.375709766279545
Number: 24435, Probability: 0.6078429022708443, Refund 46.695, Cost 28.38322432153707
Number: 24436, Probability: 0.6080429281205002, Refund 46.692, Cost 28.390740399802397
Number: 24437, Probability: 0.6082430122987981, Refund 46.689, Cost 28.398258001218583
Number: 24438, Probability: 0.6084431548200431, Refund 46.686, Cost 28.40577712592853
Number: 24439, Probability: 0.6086433556985349, Refund 46.683, Cost 28.413297774074703
Number: 24440, Probability: 0.6088436149485843, Refund 46.68, Cost 28.420819945799916
Number: 24441, Probability: 0.6090439325845021, Refund 46.677, Cost 28.4283436412468
Number: 24442, Probability: 0.609244308620599, Refund 46.674, Cost 28.435868860557836
Number: 24443, Probability: 0.6094447430711969, Refund 46.671, Cost 28.443395603875828
Number: 24444, Probability: 0.6096452359506066, Refund 46.668, Cost 28.45092387134291
Number: 24445, Probability: 0.6098457872731555, Refund 46.665, Cost 28.458453663101803
Number: 24446, Probability: 0.61004639705316, Refund 46.662, Cost 28.46598497929455
Number: 24447, Probability: 0.610247065304953, Refund 46.659, Cost 28.4735178200638
Number: 24448, Probability: 0.6104477920428619, Refund 46.656, Cost 28.481052185551764
Number: 24449, Probability: 0.6106485772812198, Refund 46.653, Cost 28.488588075900747
Number: 24450, Probability: 0.610849421034354, Refund 46.65, Cost 28.496125491252613
Number: 24451, Probability: 0.6110503233166087, Refund 46.647, Cost 28.503664431749844
Number: 24452, Probability: 0.6112512841423168, Refund 46.644, Cost 28.511204897534224
Number: 24453, Probability: 0.6114523035258224, Refund 46.641, Cost 28.51874688874788
Number: 24454, Probability: 0.6116533814814695, Refund 46.638, Cost 28.526290405532773
Number: 24455, Probability: 0.6118545180236079, Refund 46.635, Cost 28.533835448030953
Number: 24456, Probability: 0.6120557131665871, Refund 46.632, Cost 28.54138201638429
Number: 24457, Probability: 0.6122569669247568, Refund 46.629, Cost 28.548930110734485
Number: 24458, Probability: 0.6124582793124722, Refund 46.626, Cost 28.556479731223327
Number: 24459, Probability: 0.6126596503440884, Refund 46.623, Cost 28.564030877992433
Number: 24460, Probability: 0.6128610800339662, Refund 46.62, Cost 28.571583551183505
Number: 24461, Probability: 0.6130625683964719, Refund 46.617, Cost 28.57913775093833
Number: 24462, Probability: 0.6132641154459717, Refund 46.614, Cost 28.586693477398523
Number: 24463, Probability: 0.6134657211968264, Refund 46.611, Cost 28.594250730705273
Number: 24464, Probability: 0.6136673856634078, Refund 46.608, Cost 28.60180951100011
Number: 24465, Probability: 0.6138691088600934, Refund 46.605, Cost 28.60936981842465
Number: 24466, Probability: 0.6140708908012549, Refund 46.602, Cost 28.616931653120076
Number: 24467, Probability: 0.6142727315012753, Refund 46.599, Cost 28.624495015227925
Number: 24468, Probability: 0.6144746309745319, Refund 46.596, Cost 28.63205990488929
Number: 24469, Probability: 0.6146765892354022, Refund 46.593, Cost 28.6396263222451
Number: 24470, Probability: 0.6148786062982803, Refund 46.59, Cost 28.64719426743688
Number: 24471, Probability: 0.6150806821775545, Refund 46.587, Cost 28.654763740605734
Number: 24472, Probability: 0.6152828168876134, Refund 46.584, Cost 28.662334741892586
Number: 24473, Probability: 0.6154850104428511, Refund 46.581, Cost 28.669907271438447
Number: 24474, Probability: 0.6156872628576615, Refund 46.578, Cost 28.67748132938416
Number: 24475, Probability: 0.6158895741464443, Refund 46.575, Cost 28.685056915870646
Number: 24476, Probability: 0.6160919443236046, Refund 46.572, Cost 28.692634031038914
Number: 24477, Probability: 0.6162943734035475, Refund 46.569, Cost 28.700212675029807
Number: 24478, Probability: 0.6164968614006727, Refund 46.566, Cost 28.70779284798373
Number: 24479, Probability: 0.6166994083293909, Refund 46.563, Cost 28.715374550041428
Number: 24480, Probability: 0.6169020142041237, Refund 46.56, Cost 28.722957781344
Number: 24481, Probability: 0.6171046790392709, Refund 46.557, Cost 28.730542542031337
Number: 24482, Probability: 0.6173074028492653, Refund 46.554, Cost 28.738128832244698
Number: 24483, Probability: 0.6175101856485121, Refund 46.551, Cost 28.74571665212389
Number: 24484, Probability: 0.6177130274514386, Refund 46.548, Cost 28.753306001809566
Number: 24485, Probability: 0.6179159282724778, Refund 46.545, Cost 28.760896881442477
Number: 24486, Probability: 0.6181188881260458, Refund 46.542, Cost 28.768489291162425
Number: 24487, Probability: 0.6183219070265755, Refund 46.539, Cost 28.776083231109798
Number: 24488, Probability: 0.6185249849885055, Refund 46.536, Cost 28.783678701425092
Number: 24489, Probability: 0.6187281220262686, Refund 46.533, Cost 28.791275702248356
Number: 24490, Probability: 0.6189313181542977, Refund 46.53, Cost 28.798874233719474
Number: 24491, Probability: 0.6191345733870368, Refund 46.527, Cost 28.806474295978663
Number: 24492, Probability: 0.61933788773893, Refund 46.524, Cost 28.814075889165977
Number: 24493, Probability: 0.6195412612244211, Refund 46.521, Cost 28.821679013421296
Number: 24494, Probability: 0.6197446938579598, Refund 46.518, Cost 28.829283668884575
Number: 24495, Probability: 0.6199481856539957, Refund 46.515, Cost 28.83688985569561
Number: 24496, Probability: 0.6201517366269838, Refund 46.512, Cost 28.844497573994268
Number: 24497, Probability: 0.6203553467913792, Refund 46.509, Cost 28.852106823920252
Number: 24498, Probability: 0.6205590161616426, Refund 46.506, Cost 28.859717605613348
Number: 24499, Probability: 0.6207627447522346, Refund 46.503, Cost 28.867329919213166
Number: 24500, Probability: 0.6209665325776159, Refund 46.5, Cost 28.87494376485914
Number: 24501, Probability: 0.6211703796522527, Refund 46.497, Cost 28.882559142690795
Number: 24502, Probability: 0.6213742859906224, Refund 46.494, Cost 28.890176052848
Number: 24503, Probability: 0.6215782516071855, Refund 46.491, Cost 28.89779449546966
Number: 24504, Probability: 0.6217822765164305, Refund 46.488, Cost 28.90541447069582
Number: 24505, Probability: 0.621986360732818, Refund 46.485, Cost 28.913035978665043
Number: 24506, Probability: 0.6221905042708364, Refund 46.482, Cost 28.920659019517018
Number: 24507, Probability: 0.6223947071449742, Refund 46.479, Cost 28.928283593391257
Number: 24508, Probability: 0.6225989693697032, Refund 46.476, Cost 28.935909700426322
Number: 24509, Probability: 0.6228032909595171, Refund 46.473, Cost 28.94353734076164
Number: 24510, Probability: 0.6230076719289046, Refund 46.47, Cost 28.951166514536197
Number: 24511, Probability: 0.6232121122923595, Refund 46.467, Cost 28.958797221889068
Number: 24512, Probability: 0.6234166120643758, Refund 46.464, Cost 28.96642946295916
Number: 24513, Probability: 0.623621171259453, Refund 46.461, Cost 28.974063237885446
Number: 24514, Probability: 0.6238257898920907, Refund 46.458, Cost 28.981698546806747
Number: 24515, Probability: 0.6240304679767883, Refund 46.455, Cost 28.9893353898617
Number: 24516, Probability: 0.624235205528062, Refund 46.452, Cost 28.996973767189534
Number: 24517, Probability: 0.6244400025604058, Refund 46.449, Cost 29.004613678928287
Number: 24518, Probability: 0.6246448590883413, Refund 46.446, Cost 29.0122551252171
Number: 24519, Probability: 0.6248497751263737, Refund 46.443, Cost 29.019898106194173
Number: 24520, Probability: 0.6250547506890303, Refund 46.44, Cost 29.027542621998563
Number: 24521, Probability: 0.625259785790816, Refund 46.437, Cost 29.035188672768122
Number: 24522, Probability: 0.6254648804462637, Refund 46.434, Cost 29.042836258641806
Number: 24523, Probability: 0.6256700346698896, Refund 46.431, Cost 29.050485379757642
Number: 24524, Probability: 0.6258752484762264, Refund 46.428, Cost 29.05813603625424
Number: 24525, Probability: 0.626080521879796, Refund 46.425, Cost 29.06578822826953
Number: 24526, Probability: 0.6262858548951367, Refund 46.422, Cost 29.073441955942034
Number: 24527, Probability: 0.6264912475367812, Refund 46.419, Cost 29.081097219409845
Number: 24528, Probability: 0.6266966998192625, Refund 46.416, Cost 29.088754018810885
Number: 24529, Probability: 0.6269022117571244, Refund 46.413, Cost 29.09641235428341
Number: 24530, Probability: 0.6271077833649052, Refund 46.41, Cost 29.10407222596525
Number: 24531, Probability: 0.6273134146571546, Refund 46.407, Cost 29.11173363399457
Number: 24532, Probability: 0.6275191056484164, Refund 46.404, Cost 29.119396578509118
Number: 24533, Probability: 0.62772485635324, Refund 46.401, Cost 29.127061059646692
Number: 24534, Probability: 0.6279306667861806, Refund 46.398, Cost 29.134727077545207
Number: 24535, Probability: 0.6281365369617931, Refund 46.395, Cost 29.14239463234239
Number: 24536, Probability: 0.6283424668946325, Refund 46.392, Cost 29.15006372417579
Number: 24537, Probability: 0.6285484565992594, Refund 46.389, Cost 29.157734353183045
Number: 24538, Probability: 0.6287545060902455, Refund 46.386, Cost 29.16540651950213
Number: 24539, Probability: 0.6289606153821403, Refund 46.383, Cost 29.173080223269817
Number: 24540, Probability: 0.6291667844895266, Refund 46.38, Cost 29.180755464624244
Number: 24541, Probability: 0.6293730134269648, Refund 46.377, Cost 29.18843224370235
Number: 24542, Probability: 0.6295793022090379, Refund 46.374, Cost 29.196110560641927
Number: 24543, Probability: 0.6297856508503119, Refund 46.371, Cost 29.203790415579814
Number: 24544, Probability: 0.6299920593653752, Refund 46.368, Cost 29.211471808653716
Number: 24545, Probability: 0.6301985277688049, Refund 46.365, Cost 29.21915474000064
Number: 24546, Probability: 0.6304050560751784, Refund 46.362, Cost 29.226839209757422
Number: 24547, Probability: 0.630611644299095, Refund 46.359, Cost 29.234525218061748
Number: 24548, Probability: 0.630818292455132, Refund 46.356, Cost 29.2422127650501
Number: 24549, Probability: 0.6310250005578888, Refund 46.353, Cost 29.24990185085982
Number: 24550, Probability: 0.6312317686219537, Refund 46.35, Cost 29.257592475627558
Number: 24551, Probability: 0.6314385966619318, Refund 46.347, Cost 29.265284639490556
Number: 24552, Probability: 0.6316454846924169, Refund 46.344, Cost 29.27297834258537
Number: 24553, Probability: 0.6318524327280084, Refund 46.341, Cost 29.28067358504864
Number: 24554, Probability: 0.6320594407833169, Refund 46.338, Cost 29.28837036701734
Number: 24555, Probability: 0.6322665088729473, Refund 46.335, Cost 29.296068688628015
Number: 24556, Probability: 0.6324736370115103, Refund 46.332, Cost 29.303768550017296
Number: 24557, Probability: 0.6326808252136162, Refund 46.329, Cost 29.311469951321627
Number: 24558, Probability: 0.6328880734938813, Refund 46.326, Cost 29.319172892677546
Number: 24559, Probability: 0.6330953818669272, Refund 46.323, Cost 29.326877374221667
Number: 24560, Probability: 0.6333027503473754, Refund 46.32, Cost 29.334583396090427
Number: 24561, Probability: 0.6335101789498365, Refund 46.317, Cost 29.34229095841958
Number: 24562, Probability: 0.6337176676889489, Refund 46.314, Cost 29.350000061345977
Number: 24563, Probability: 0.6339252165793341, Refund 46.311, Cost 29.35771070500554
Number: 24564, Probability: 0.6341328256356249, Refund 46.308, Cost 29.365422889534518
Number: 24565, Probability: 0.6343404948724596, Refund 46.305, Cost 29.373136615069242
