Probabilities:
Mile Number: 1, Probability: 3.6366178509716907e-05, Refund 119.997, Cost 5.314547209027631e-06
Mile Number: 23637, Probability: 3.6366178509716907e-05, Refund 49.089, Cost 0.2285805686358067
Mile Number: 23638, Probability: 3.6366178509716907e-05, Refund 49.086, Cost 0.22864406786905153
Mile Number: 23639, Probability: 3.6366178509716907e-05, Refund 49.083, Cost 0.22870758105790792
Mile Number: 23640, Probability: 3.6366178509716907e-05, Refund 49.08, Cost 0.22877110820411536
Mile Number: 23641, Probability: 3.6366178509716907e-05, Refund 49.077, Cost 0.22883464930941458
Mile Number: 23642, Probability: 3.6366178509716907e-05, Refund 49.074, Cost 0.2288982043755421
Mile Number: 23643, Probability: 3.6366178509716907e-05, Refund 49.071, Cost 0.2289617734042384
Mile Number: 23644, Probability: 3.6366178509716907e-05, Refund 49.068, Cost 0.22902535639724253
Mile Number: 23645, Probability: 3.6366178509716907e-05, Refund 49.065, Cost 0.229088953356292
Mile Number: 23646, Probability: 3.6366178509716907e-05, Refund 49.062, Cost 0.22915256428312836
Mile Number: 23647, Probability: 3.6366178509716907e-05, Refund 49.059, Cost 0.22921618917948616
Mile Number: 23648, Probability: 3.6366178509716907e-05, Refund 49.056, Cost 0.2292798280471067
Mile Number: 23649, Probability: 3.6366178509716907e-05, Refund 49.053, Cost 0.2293434808877216
Mile Number: 23650, Probability: 3.6366178509716907e-05, Refund 49.05, Cost 0.22940714770307466
Mile Number: 23651, Probability: 3.6366178509716907e-05, Refund 49.047, Cost 0.22947082849489722
Mile Number: 23652, Probability: 3.6366178509716907e-05, Refund 49.044, Cost 0.22953452326493015
Mile Number: 23653, Probability: 3.6366178509716907e-05, Refund 49.041, Cost 0.22959823201491003
Mile Number: 23654, Probability: 3.6366178509716907e-05, Refund 49.038, Cost 0.22966195474656656
Mile Number: 23655, Probability: 3.6366178509716907e-05, Refund 49.035, Cost 0.22972569146164157
Mile Number: 23656, Probability: 3.6366178509716907e-05, Refund 49.032, Cost 0.2297894421618699
Mile Number: 23657, Probability: 3.6366178509716907e-05, Refund 49.029, Cost 0.22985320684898503
Mile Number: 23658, Probability: 3.6366178509716907e-05, Refund 49.026, Cost 0.22991698552472153
Mile Number: 23659, Probability: 3.6366178509716907e-05, Refund 49.023, Cost 0.22998077819081533
Mile Number: 23660, Probability: 3.6366178509716907e-05, Refund 49.02, Cost 0.2300445848490009
Mile Number: 23661, Probability: 3.6366178509716907e-05, Refund 49.017, Cost 0.23010840550100836
Mile Number: 23662, Probability: 3.6366178509716907e-05, Refund 49.014, Cost 0.23017224014857737
Mile Number: 23663, Probability: 3.6366178509716907e-05, Refund 49.011, Cost 0.23023608879343788
Mile Number: 23664, Probability: 3.6366178509716907e-05, Refund 49.008, Cost 0.23029995143732382
Mile Number: 23665, Probability: 3.6366178509716907e-05, Refund 49.005, Cost 0.23036382808196765
Mile Number: 23666, Probability: 3.6366178509716907e-05, Refund 49.002, Cost 0.23042771872910303
Mile Number: 23667, Probability: 3.6366178509716907e-05, Refund 48.999, Cost 0.23049162338045945
Mile Number: 23668, Probability: 3.6366178509716907e-05, Refund 48.996, Cost 0.23055554203777034
Mile Number: 23669, Probability: 3.6366178509716907e-05, Refund 48.993, Cost 0.2306194747027704
Mile Number: 23670, Probability: 3.6366178509716907e-05, Refund 48.99, Cost 0.23068342137718728
Mile Number: 23671, Probability: 3.6366178509716907e-05, Refund 48.987, Cost 0.23074738206275278
Mile Number: 23672, Probability: 3.6366178509716907e-05, Refund 48.984, Cost 0.23081135676119707
Mile Number: 23673, Probability: 3.6366178509716907e-05, Refund 48.981, Cost 0.23087534547425434
Mile Number: 23674, Probability: 3.6366178509716907e-05, Refund 48.978, Cost 0.2309393482036491
Mile Number: 23675, Probability: 3.6366178509716907e-05, Refund 48.975, Cost 0.23100336495111526
Mile Number: 23676, Probability: 3.6366178509716907e-05, Refund 48.972, Cost 0.23106739571838256
Mile Number: 23677, Probability: 3.6366178509716907e-05, Refund 48.969, Cost 0.2311314405071792
Mile Number: 23678, Probability: 3.6366178509716907e-05, Refund 48.966, Cost 0.23119549931923195
Mile Number: 23679, Probability: 3.6366178509716907e-05, Refund 48.963, Cost 0.23125957215627418
Mile Number: 23680, Probability: 3.6366178509716907e-05, Refund 48.96, Cost 0.2313236590200324
Mile Number: 23681, Probability: 3.6366178509716907e-05, Refund 48.957, Cost 0.23138775991223431
Mile Number: 23682, Probability: 3.6366178509716907e-05, Refund 48.954, Cost 0.23145187483460614
Mile Number: 23683, Probability: 3.6366178509716907e-05, Refund 48.951, Cost 0.23151600378887807
Mile Number: 23684, Probability: 3.6366178509716907e-05, Refund 48.948, Cost 0.23158014677677607
Mile Number: 23685, Probability: 3.6366178509716907e-05, Refund 48.945, Cost 0.23164430380002732
Mile Number: 23686, Probability: 3.6366178509716907e-05, Refund 48.942, Cost 0.23170847486036025
Mile Number: 23687, Probability: 3.6366178509716907e-05, Refund 48.939, Cost 0.23177265995949908
Mile Number: 23688, Probability: 3.6366178509716907e-05, Refund 48.936, Cost 0.2318368590991693
Mile Number: 23689, Probability: 3.6366178509716907e-05, Refund 48.933, Cost 0.2319010722811002
Mile Number: 23690, Probability: 3.6366178509716907e-05, Refund 48.93, Cost 0.23196529950701164
Mile Number: 23691, Probability: 3.6366178509716907e-05, Refund 48.927, Cost 0.23202954077863538
Mile Number: 23692, Probability: 3.6366178509716907e-05, Refund 48.924, Cost 0.23209379609769096
Mile Number: 23693, Probability: 3.6366178509716907e-05, Refund 48.921, Cost 0.2321580654659072
Mile Number: 23694, Probability: 3.6366178509716907e-05, Refund 48.918, Cost 0.23222234888500606
Mile Number: 23695, Probability: 3.6366178509716907e-05, Refund 48.915, Cost 0.2322866463567107
Mile Number: 23696, Probability: 3.6366178509716907e-05, Refund 48.912, Cost 0.2323509578827455
Mile Number: 23697, Probability: 3.6366178509716907e-05, Refund 48.909, Cost 0.23241528346483606
Mile Number: 23698, Probability: 3.6366178509716907e-05, Refund 48.906, Cost 0.2324796231047038
Mile Number: 23699, Probability: 3.6366178509716907e-05, Refund 48.903, Cost 0.23254397680406858
Mile Number: 23700, Probability: 3.6366178509716907e-05, Refund 48.9, Cost 0.23260834456465973
Mile Number: 23701, Probability: 3.6366178509716907e-05, Refund 48.897, Cost 0.23267272638819414
Mile Number: 23702, Probability: 3.6366178509716907e-05, Refund 48.894, Cost 0.23273712227639268
Mile Number: 23703, Probability: 3.6366178509716907e-05, Refund 48.891, Cost 0.23280153223098285
Mile Number: 23704, Probability: 3.6366178509716907e-05, Refund 48.888, Cost 0.23286595625367978
Mile Number: 23705, Probability: 3.6366178509716907e-05, Refund 48.885, Cost 0.23293039434621074
Mile Number: 23706, Probability: 3.6366178509716907e-05, Refund 48.882, Cost 0.23299484651029062
Mile Number: 23707, Probability: 3.6366178509716907e-05, Refund 48.879, Cost 0.23305931274764088
Mile Number: 23708, Probability: 3.6366178509716907e-05, Refund 48.876, Cost 0.23312379305998707
Mile Number: 23709, Probability: 3.6366178509716907e-05, Refund 48.873, Cost 0.23318828744904221
Mile Number: 23710, Probability: 3.6366178509716907e-05, Refund 48.87, Cost 0.2332527959165288
Mile Number: 23711, Probability: 3.6366178509716907e-05, Refund 48.867, Cost 0.23331731846416515
Mile Number: 23712, Probability: 3.6366178509716907e-05, Refund 48.864, Cost 0.23338185509367065
Mile Number: 23713, Probability: 3.6366178509716907e-05, Refund 48.861, Cost 0.233446405806766
Mile Number: 23714, Probability: 3.6366178509716907e-05, Refund 48.858, Cost 0.23351097060516504
Mile Number: 23715, Probability: 3.6366178509716907e-05, Refund 48.855, Cost 0.2335755494905908
Mile Number: 23716, Probability: 3.6366178509716907e-05, Refund 48.852, Cost 0.23364014246475684
Mile Number: 23717, Probability: 3.6366178509716907e-05, Refund 48.849, Cost 0.23370474952938053
Mile Number: 23718, Probability: 3.6366178509716907e-05, Refund 48.846, Cost 0.2337693706861832
Mile Number: 23719, Probability: 3.6366178509716907e-05, Refund 48.843, Cost 0.2338340059368793
Mile Number: 23720, Probability: 3.6366178509716907e-05, Refund 48.84, Cost 0.23389865528318168
Mile Number: 23721, Probability: 3.6366178509716907e-05, Refund 48.837, Cost 0.23396331872681267
Mile Number: 23722, Probability: 3.6366178509716907e-05, Refund 48.834, Cost 0.23402799626948484
Mile Number: 23723, Probability: 3.6366178509716907e-05, Refund 48.831, Cost 0.2340926879129148
Mile Number: 23724, Probability: 3.6366178509716907e-05, Refund 48.828, Cost 0.23415739365881483
Mile Number: 23725, Probability: 3.6366178509716907e-05, Refund 48.825, Cost 0.23422211350890393
Mile Number: 23726, Probability: 3.6366178509716907e-05, Refund 48.822, Cost 0.23428684746489417
Mile Number: 23727, Probability: 3.6366178509716907e-05, Refund 48.819, Cost 0.2343515955285015
Mile Number: 23728, Probability: 3.6366178509716907e-05, Refund 48.816, Cost 0.23441635770144037
Mile Number: 23729, Probability: 3.6366178509716907e-05, Refund 48.813, Cost 0.23448113398542106
Mile Number: 23730, Probability: 3.6366178509716907e-05, Refund 48.81, Cost 0.23454592438216046
Mile Number: 23731, Probability: 3.6366178509716907e-05, Refund 48.807, Cost 0.23461072889337123
Mile Number: 23732, Probability: 3.6366178509716907e-05, Refund 48.804, Cost 0.23467554752076455
Mile Number: 23733, Probability: 3.6366178509716907e-05, Refund 48.801, Cost 0.23474038026605276
Mile Number: 23734, Probability: 3.6366178509716907e-05, Refund 48.798, Cost 0.23480522713095223
Mile Number: 23735, Probability: 3.6366178509716907e-05, Refund 48.795, Cost 0.23487008811716953
Mile Number: 23736, Probability: 3.6366178509716907e-05, Refund 48.792, Cost 0.2349349632264207
Mile Number: 23737, Probability: 3.6366178509716907e-05, Refund 48.789, Cost 0.23499985246041213
Mile Number: 23738, Probability: 3.6366178509716907e-05, Refund 48.786, Cost 0.23506475582085676
Mile Number: 23739, Probability: 3.6366178509716907e-05, Refund 48.783, Cost 0.2351296733094688
Mile Number: 23740, Probability: 3.6366178509716907e-05, Refund 48.78, Cost 0.23519460492795552
Mile Number: 23741, Probability: 3.6366178509716907e-05, Refund 48.777, Cost 0.23525955067802537
Mile Number: 23742, Probability: 3.6366178509716907e-05, Refund 48.774, Cost 0.23532451056139075
Mile Number: 23743, Probability: 3.6366178509716907e-05, Refund 48.771, Cost 0.23538948457975983
Mile Number: 23744, Probability: 3.6366178509716907e-05, Refund 48.768, Cost 0.235454472734842
Mile Number: 23745, Probability: 3.6366178509716907e-05, Refund 48.765, Cost 0.23551947502834505
Mile Number: 23746, Probability: 3.6366178509716907e-05, Refund 48.762, Cost 0.23558449146198082
Mile Number: 23747, Probability: 3.6366178509716907e-05, Refund 48.759, Cost 0.23564952203745415
Mile Number: 23748, Probability: 3.6366178509716907e-05, Refund 48.756, Cost 0.2357145667564738
Mile Number: 23749, Probability: 3.6366178509716907e-05, Refund 48.753, Cost 0.23577962562074697
Mile Number: 23750, Probability: 3.6366178509716907e-05, Refund 48.75, Cost 0.23584469863198218
Mile Number: 23751, Probability: 3.6366178509716907e-05, Refund 48.747, Cost 0.23590978579188362
Mile Number: 23752, Probability: 3.6366178509716907e-05, Refund 48.744, Cost 0.23597488710216213
Mile Number: 23753, Probability: 3.6366178509716907e-05, Refund 48.741, Cost 0.23604000256452168
Mile Number: 23754, Probability: 3.6366178509716907e-05, Refund 48.738, Cost 0.23610513218066734
Mile Number: 23755, Probability: 3.6366178509716907e-05, Refund 48.735, Cost 0.23617027595230544
Mile Number: 23756, Probability: 3.6366178509716907e-05, Refund 48.732, Cost 0.23623543388114082
Mile Number: 23757, Probability: 3.6366178509716907e-05, Refund 48.729, Cost 0.23630060596887945
Mile Number: 23758, Probability: 3.6366178509716907e-05, Refund 48.726, Cost 0.2363657922172285
Mile Number: 23759, Probability: 3.6366178509716907e-05, Refund 48.723, Cost 0.23643099262788564
Mile Number: 23760, Probability: 3.6366178509716907e-05, Refund 48.72, Cost 0.23649620720256306
Mile Number: 23761, Probability: 3.6366178509716907e-05, Refund 48.717, Cost 0.2365614359429581
Mile Number: 23762, Probability: 3.6366178509716907e-05, Refund 48.714, Cost 0.23662667885077723
Mile Number: 23763, Probability: 3.6366178509716907e-05, Refund 48.711, Cost 0.2366919359277229
Mile Number: 23764, Probability: 3.6366178509716907e-05, Refund 48.708, Cost 0.23675720717549859
Mile Number: 23765, Probability: 3.6366178509716907e-05, Refund 48.705, Cost 0.23682249259580632
Mile Number: 23766, Probability: 3.6366178509716907e-05, Refund 48.702, Cost 0.23688779219034667
Mile Number: 23767, Probability: 3.6366178509716907e-05, Refund 48.699, Cost 0.2369531059608267
Mile Number: 23768, Probability: 3.6366178509716907e-05, Refund 48.696, Cost 0.2370184339089412
Mile Number: 23769, Probability: 3.6366178509716907e-05, Refund 48.693, Cost 0.23708377603639696
Mile Number: 23770, Probability: 3.6366178509716907e-05, Refund 48.69, Cost 0.23714913234489118
Mile Number: 23771, Probability: 3.6366178509716907e-05, Refund 48.687, Cost 0.2372145028361276
Mile Number: 23772, Probability: 3.6366178509716907e-05, Refund 48.684, Cost 0.23727988751180307
Mile Number: 23773, Probability: 3.6366178509716907e-05, Refund 48.681, Cost 0.23734528637361832
Mile Number: 23774, Probability: 3.6366178509716907e-05, Refund 48.678, Cost 0.23741069942327797
Mile Number: 23775, Probability: 3.6366178509716907e-05, Refund 48.675, Cost 0.23747612666247433
Mile Number: 23776, Probability: 3.6366178509716907e-05, Refund 48.672, Cost 0.23754156809291171
Mile Number: 23777, Probability: 3.6366178509716907e-05, Refund 48.669, Cost 0.23760702371628475
Mile Number: 23778, Probability: 3.6366178509716907e-05, Refund 48.666, Cost 0.23767249353429473
Mile Number: 23779, Probability: 3.6366178509716907e-05, Refund 48.663, Cost 0.23773797754863868
Mile Number: 23780, Probability: 3.6366178509716907e-05, Refund 48.66, Cost 0.23780347576101216
Mile Number: 23781, Probability: 3.6366178509716907e-05, Refund 48.657, Cost 0.23786898817311727
Mile Number: 23782, Probability: 3.6366178509716907e-05, Refund 48.654, Cost 0.23793451478664923
Mile Number: 23783, Probability: 3.6366178509716907e-05, Refund 48.651, Cost 0.23800005560330437
Mile Number: 23784, Probability: 3.6366178509716907e-05, Refund 48.648, Cost 0.23806561062477757
Mile Number: 23785, Probability: 3.6366178509716907e-05, Refund 48.645, Cost 0.2381311798527676
Mile Number: 23786, Probability: 3.6366178509716907e-05, Refund 48.642, Cost 0.23819676328896897
Mile Number: 23787, Probability: 3.6366178509716907e-05, Refund 48.639, Cost 0.23826236093508008
Mile Number: 23788, Probability: 3.6366178509716907e-05, Refund 48.636, Cost 0.23832797279278975
Mile Number: 23789, Probability: 3.6366178509716907e-05, Refund 48.633, Cost 0.23839359886379874
Mile Number: 23790, Probability: 3.6366178509716907e-05, Refund 48.63, Cost 0.23845923914979816
Mile Number: 23791, Probability: 3.6366178509716907e-05, Refund 48.627, Cost 0.2385248936524831
Mile Number: 23792, Probability: 3.6366178509716907e-05, Refund 48.624, Cost 0.23859056237354975
Mile Number: 23793, Probability: 3.6366178509716907e-05, Refund 48.621, Cost 0.2386562453146901
Mile Number: 23794, Probability: 3.6366178509716907e-05, Refund 48.618, Cost 0.2387219424775946
Mile Number: 23795, Probability: 3.6366178509716907e-05, Refund 48.615, Cost 0.23878765386396034
Mile Number: 23796, Probability: 3.6366178509716907e-05, Refund 48.612, Cost 0.2388533794754801
Mile Number: 23797, Probability: 3.6366178509716907e-05, Refund 48.609, Cost 0.23891911931384252
Mile Number: 23798, Probability: 3.6366178509716907e-05, Refund 48.606, Cost 0.23898487338074006
Mile Number: 23799, Probability: 3.6366178509716907e-05, Refund 48.603, Cost 0.2390506416778664
Mile Number: 23800, Probability: 3.6366178509716907e-05, Refund 48.6, Cost 0.23911642420691365
Mile Number: 23801, Probability: 3.6366178509716907e-05, Refund 48.597, Cost 0.23918222096956976
Mile Number: 23802, Probability: 3.6366178509716907e-05, Refund 48.594, Cost 0.23924803196752917
Mile Number: 23803, Probability: 3.6366178509716907e-05, Refund 48.591, Cost 0.23931385720247678
Mile Number: 23804, Probability: 3.6366178509716907e-05, Refund 48.588, Cost 0.2393796966761067
Mile Number: 23805, Probability: 3.6366178509716907e-05, Refund 48.585, Cost 0.23944555039010887
Mile Number: 23806, Probability: 3.6366178509716907e-05, Refund 48.582, Cost 0.23951141834617168
Mile Number: 23807, Probability: 3.6366178509716907e-05, Refund 48.579, Cost 0.23957730054598197
Mile Number: 23808, Probability: 3.6366178509716907e-05, Refund 48.576, Cost 0.23964319699123318
Mile Number: 23809, Probability: 3.6366178509716907e-05, Refund 48.573, Cost 0.23970910768360915
Mile Number: 23810, Probability: 3.6366178509716907e-05, Refund 48.57, Cost 0.23977503262479752
Mile Number: 23811, Probability: 3.6366178509716907e-05, Refund 48.567, Cost 0.2398409718164899
Mile Number: 23812, Probability: 3.6366178509716907e-05, Refund 48.564, Cost 0.23990692526037355
Mile Number: 23813, Probability: 3.6366178509716907e-05, Refund 48.561, Cost 0.23997289295813432
Mile Number: 23814, Probability: 3.6366178509716907e-05, Refund 48.558, Cost 0.24003887491145645
Mile Number: 23815, Probability: 3.6366178509716907e-05, Refund 48.555, Cost 0.24010487112202814
Mile Number: 23816, Probability: 3.6366178509716907e-05, Refund 48.552, Cost 0.2401708815915359
Mile Number: 23817, Probability: 3.6366178509716907e-05, Refund 48.549, Cost 0.24023690632166764
Mile Number: 23818, Probability: 3.6366178509716907e-05, Refund 48.546, Cost 0.24030294531410412
Mile Number: 23819, Probability: 3.6366178509716907e-05, Refund 48.543, Cost 0.2403689985705328
Mile Number: 23820, Probability: 3.6366178509716907e-05, Refund 48.54, Cost 0.24043506609263957
Mile Number: 23821, Probability: 3.6366178509716907e-05, Refund 48.537, Cost 0.24050114788210608
Mile Number: 23822, Probability: 3.6366178509716907e-05, Refund 48.534, Cost 0.24056724394062057
Mile Number: 23823, Probability: 3.6366178509716907e-05, Refund 48.531, Cost 0.24063335426986165
Mile Number: 23824, Probability: 3.6366178509716907e-05, Refund 48.528, Cost 0.2406994788715172
Mile Number: 23825, Probability: 3.6366178509716907e-05, Refund 48.525, Cost 0.2407656177472681
Mile Number: 23826, Probability: 3.6366178509716907e-05, Refund 48.522, Cost 0.24083177089879648
Mile Number: 23827, Probability: 3.6366178509716907e-05, Refund 48.519, Cost 0.24089793832778833
Mile Number: 23828, Probability: 3.6366178509716907e-05, Refund 48.516, Cost 0.24096412003591994
Mile Number: 23829, Probability: 3.6366178509716907e-05, Refund 48.513, Cost 0.24103031602487965
Mile Number: 23830, Probability: 3.6366178509716907e-05, Refund 48.51, Cost 0.24109652629634343
Mile Number: 23831, Probability: 3.6366178509716907e-05, Refund 48.507, Cost 0.2411627508519938
Mile Number: 23832, Probability: 3.6366178509716907e-05, Refund 48.504, Cost 0.24122898969351442
Mile Number: 23833, Probability: 3.6366178509716907e-05, Refund 48.501, Cost 0.2412952428225821
Mile Number: 23834, Probability: 3.6366178509716907e-05, Refund 48.498, Cost 0.24136151024088015
Mile Number: 23835, Probability: 3.6366178509716907e-05, Refund 48.495, Cost 0.24142779195008496
Mile Number: 23836, Probability: 3.6366178509716907e-05, Refund 48.492, Cost 0.2414940879518795
Mile Number: 23837, Probability: 3.6366178509716907e-05, Refund 48.489, Cost 0.24156039824793973
Mile Number: 23838, Probability: 3.6366178509716907e-05, Refund 48.486, Cost 0.24162672283994557
Mile Number: 23839, Probability: 3.6366178509716907e-05, Refund 48.483, Cost 0.24169306172957808
Mile Number: 23840, Probability: 3.6366178509716907e-05, Refund 48.48, Cost 0.2417594149185086
Mile Number: 23841, Probability: 3.6366178509716907e-05, Refund 48.477, Cost 0.24182578240842326
Mile Number: 23842, Probability: 3.6366178509716907e-05, Refund 48.474, Cost 0.24189216420099305
Mile Number: 23843, Probability: 3.6366178509716907e-05, Refund 48.471, Cost 0.24195856029789828
Mile Number: 23844, Probability: 3.6366178509716907e-05, Refund 48.468, Cost 0.242024970700815
Mile Number: 23845, Probability: 3.6366178509716907e-05, Refund 48.465, Cost 0.24209139541142033
Mile Number: 23846, Probability: 3.6366178509716907e-05, Refund 48.462, Cost 0.24215783443138736
Mile Number: 23847, Probability: 3.6366178509716907e-05, Refund 48.459, Cost 0.24222428776239552
Mile Number: 23848, Probability: 3.6366178509716907e-05, Refund 48.456, Cost 0.24229075540611744
Mile Number: 23849, Probability: 3.6366178509716907e-05, Refund 48.453, Cost 0.24235723736422957
Mile Number: 23850, Probability: 3.6366178509716907e-05, Refund 48.45, Cost 0.2424237336384068
Mile Number: 23851, Probability: 3.6366178509716907e-05, Refund 48.447, Cost 0.24249024423032517
Mile Number: 23852, Probability: 3.6366178509716907e-05, Refund 48.444, Cost 0.2425567691416538
Mile Number: 23853, Probability: 3.6366178509716907e-05, Refund 48.441, Cost 0.24262330837407112
Mile Number: 23854, Probability: 3.6366178509716907e-05, Refund 48.438, Cost 0.2426898619292485
Mile Number: 23855, Probability: 3.6366178509716907e-05, Refund 48.435, Cost 0.24275642980886125
Mile Number: 23856, Probability: 3.6366178509716907e-05, Refund 48.432, Cost 0.2428230120145777
Mile Number: 23857, Probability: 3.6366178509716907e-05, Refund 48.429, Cost 0.24288960854807276
Mile Number: 23858, Probability: 3.6366178509716907e-05, Refund 48.426, Cost 0.24295621941101977
Mile Number: 23859, Probability: 3.6366178509716907e-05, Refund 48.423, Cost 0.24302284460508788
Mile Number: 23860, Probability: 3.6366178509716907e-05, Refund 48.42, Cost 0.24308948413194734
Mile Number: 23861, Probability: 3.6366178509716907e-05, Refund 48.417, Cost 0.2431561379932749
Mile Number: 23862, Probability: 3.6366178509716907e-05, Refund 48.414, Cost 0.24322280619073514
Mile Number: 23863, Probability: 3.6366178509716907e-05, Refund 48.411, Cost 0.24328948872600167
Mile Number: 23864, Probability: 3.6366178509716907e-05, Refund 48.408, Cost 0.24335618560074407
Mile Number: 23865, Probability: 3.6366178509716907e-05, Refund 48.405, Cost 0.2434228968166302
Mile Number: 23866, Probability: 3.6366178509716907e-05, Refund 48.402, Cost 0.2434896223753319
Mile Number: 23867, Probability: 3.6366178509716907e-05, Refund 48.399, Cost 0.24355636227851665
Mile Number: 23868, Probability: 3.6366178509716907e-05, Refund 48.396, Cost 0.24362311652785315
Mile Number: 23869, Probability: 3.6366178509716907e-05, Refund 48.393, Cost 0.24368988512501125
Mile Number: 23870, Probability: 3.6366178509716907e-05, Refund 48.39, Cost 0.24375666807165655
Mile Number: 23871, Probability: 3.6366178509716907e-05, Refund 48.387, Cost 0.24382346536945576
Mile Number: 23872, Probability: 3.6366178509716907e-05, Refund 48.384, Cost 0.2438902770200795
Mile Number: 23873, Probability: 3.6366178509716907e-05, Refund 48.381, Cost 0.24395710302519139
Mile Number: 23874, Probability: 3.6366178509716907e-05, Refund 48.378, Cost 0.2440239433864616
Mile Number: 23875, Probability: 3.6366178509716907e-05, Refund 48.375, Cost 0.2440907981055534
Mile Number: 23876, Probability: 3.6366178509716907e-05, Refund 48.372, Cost 0.24415766718413384
Mile Number: 23877, Probability: 3.6366178509716907e-05, Refund 48.369, Cost 0.24422455062386847
Mile Number: 23878, Probability: 3.6366178509716907e-05, Refund 48.366, Cost 0.24429144842642128
Mile Number: 23879, Probability: 3.6366178509716907e-05, Refund 48.363, Cost 0.2443583605934574
Mile Number: 23880, Probability: 3.6366178509716907e-05, Refund 48.36, Cost 0.24442528712664308
Mile Number: 23881, Probability: 3.6366178509716907e-05, Refund 48.357, Cost 0.24449222802764306
Mile Number: 23882, Probability: 3.6366178509716907e-05, Refund 48.354, Cost 0.24455918329811513
Mile Number: 23883, Probability: 3.6366178509716907e-05, Refund 48.351, Cost 0.24462615293972895
Mile Number: 23884, Probability: 3.6366178509716907e-05, Refund 48.348, Cost 0.24469313695414463
Mile Number: 23885, Probability: 3.6366178509716907e-05, Refund 48.345, Cost 0.24476013534302873
Mile Number: 23886, Probability: 3.6366178509716907e-05, Refund 48.342, Cost 0.24482714810803827
Mile Number: 23887, Probability: 3.6366178509716907e-05, Refund 48.339, Cost 0.24489417525083668
Mile Number: 23888, Probability: 3.6366178509716907e-05, Refund 48.336, Cost 0.2449612167730886
Mile Number: 23889, Probability: 3.6366178509716907e-05, Refund 48.333, Cost 0.24502827267645175
Mile Number: 23890, Probability: 3.6366178509716907e-05, Refund 48.33, Cost 0.24509534296259033
Mile Number: 23891, Probability: 3.6366178509716907e-05, Refund 48.327, Cost 0.24516242763316431
Mile Number: 23892, Probability: 3.6366178509716907e-05, Refund 48.324, Cost 0.2452295266898321
Mile Number: 23893, Probability: 3.6366178509716907e-05, Refund 48.321, Cost 0.24529664013425329
Mile Number: 23894, Probability: 3.6366178509716907e-05, Refund 48.318, Cost 0.2453637679680912
Mile Number: 23895, Probability: 3.6366178509716907e-05, Refund 48.315, Cost 0.24543091019299965
Mile Number: 23896, Probability: 3.6366178509716907e-05, Refund 48.312, Cost 0.24549806681064426
Mile Number: 23897, Probability: 3.6366178509716907e-05, Refund 48.309, Cost 0.24556523782267836
Mile Number: 23898, Probability: 3.6366178509716907e-05, Refund 48.306, Cost 0.24563242323076184
Mile Number: 23899, Probability: 3.6366178509716907e-05, Refund 48.303, Cost 0.24569962303655293
Mile Number: 23900, Probability: 3.6366178509716907e-05, Refund 48.3, Cost 0.24576683724170845
Mile Number: 23901, Probability: 3.6366178509716907e-05, Refund 48.297, Cost 0.24583406584788353
Mile Number: 23902, Probability: 3.6366178509716907e-05, Refund 48.294, Cost 0.2459013088567399
Mile Number: 23903, Probability: 3.6366178509716907e-05, Refund 48.291, Cost 0.2459685662699323
Mile Number: 23904, Probability: 3.6366178509716907e-05, Refund 48.288, Cost 0.24603583808911392
Mile Number: 23905, Probability: 3.6366178509716907e-05, Refund 48.285, Cost 0.24610312431594183
Mile Number: 23906, Probability: 3.6366178509716907e-05, Refund 48.282, Cost 0.24617042495207414
Mile Number: 23907, Probability: 3.6366178509716907e-05, Refund 48.279, Cost 0.24623773999916215
Mile Number: 23908, Probability: 3.6366178509716907e-05, Refund 48.276, Cost 0.24630506945886083
Mile Number: 23909, Probability: 3.6366178509716907e-05, Refund 48.273, Cost 0.246372413332829
Mile Number: 23910, Probability: 3.6366178509716907e-05, Refund 48.27, Cost 0.24643977162271596
Mile Number: 23911, Probability: 3.6366178509716907e-05, Refund 48.267, Cost 0.24650714433017745
Mile Number: 23912, Probability: 3.6366178509716907e-05, Refund 48.264, Cost 0.24657453145686495
Mile Number: 23913, Probability: 3.6366178509716907e-05, Refund 48.261, Cost 0.24664193300443374
Mile Number: 23914, Probability: 3.6366178509716907e-05, Refund 48.258, Cost 0.24670934897453226
Mile Number: 23915, Probability: 3.6366178509716907e-05, Refund 48.255, Cost 0.246776779368818
Mile Number: 23916, Probability: 3.6366178509716907e-05, Refund 48.252, Cost 0.2468442241889416
Mile Number: 23917, Probability: 3.6366178509716907e-05, Refund 48.249, Cost 0.2469116834365495
Mile Number: 23918, Probability: 3.6366178509716907e-05, Refund 48.246, Cost 0.2469791571132999
Mile Number: 23919, Probability: 3.6366178509716907e-05, Refund 48.243, Cost 0.24704664522083872
Mile Number: 23920, Probability: 3.6366178509716907e-05, Refund 48.24, Cost 0.24711414776081847
Mile Number: 23921, Probability: 3.6366178509716907e-05, Refund 48.237, Cost 0.24718166473488995
Mile Number: 23922, Probability: 3.6366178509716907e-05, Refund 48.234, Cost 0.24724919614469987
Mile Number: 23923, Probability: 3.6366178509716907e-05, Refund 48.231, Cost 0.2473167419919013
Mile Number: 23924, Probability: 3.6366178509716907e-05, Refund 48.228, Cost 0.24738430227814046
Mile Number: 23925, Probability: 3.6366178509716907e-05, Refund 48.225, Cost 0.24745187700506463
Mile Number: 23926, Probability: 3.6366178509716907e-05, Refund 48.222, Cost 0.247519466174325
